zeile	feld_id	feld_nr	printX	printY	new_page_after
1	name	10	22	20	
1	zur_est	20	152	25	
2	vorname	30	22	29	
3	steuernummer	40	47	36	
3	lfdnr	50	137	36	
4	obj_str_hnr	60	22	61	
4	angeschafft_am	70	158	61	
5	obj_plz	80	22	70	
6	einhwert_az	100	32	79	
6	veraeussert_am	110	158	79	
8	gesamt_wfl	120	50	100	
9	mieteinnahmen_netto	130	171	110	
13	umlagen	140	171	146	
21	summe_einnahmen	150			
22	summe_werbungskosten_uebertrag	160			
23	ueberschuss	170			
24	zurechng_stpfl	180			
24	zurechng_partner	190			1
33	afa_linear	200			
33	afa_prozent	210			
33	afa_wievorjahr	220			
33	afa_betrag	230			
40	kosten_voll_abziehbar	240			
42	kosten_zu_verteilen	250			
42	davon_im_vj	260			
43	anteil_aus_vj_minus_4	270			
44	"anteil_aus_vj_minus_3
"	280			
45	anteil_aus_vj_minus_2	290			
46	anteil_aus_vj_minus_1	300			
47	hauskosten_allg	310			
50	sonstige_kosten	320			
51	summe_werbungskosten	330			
5	obj_ort	90	53	70	
